Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2006-2007,5945,Central Coast,2,0,0,0,7,9,21,21,0,164,200,-36,-27
2006-2007,5947,Skeena-Queen Charlotte,30,34,10,15,34,25,201,191,10,701,922,-221,-186
2006-2007,5949,Kitimat-Stikine,51,96,6,41,9,-71,499,470,29,1340,1635,-295,-337
2006-2007,5951,Bulkley-Nechako,41,61,26,26,4,-16,479,447,32,1328,1784,-456,-440
2006-2007,5953,Fraser-Fort George,190,89,46,40,20,127,1276,1274,2,3517,3484,33,162
2006-2007,5955,Peace River,107,59,29,26,46,97,1759,1609,150,2117,1921,196,443
2006-2007,5957,Stikine,1,0,2,0,-4,-1,18,27,-9,34,45,-11,-21
2006-2007,5959,Northern Rockies,17,4,15,2,5,31,240,329,-89,254,468,-214,-272
2007-2008,5900,British Columbia,43220,12163,5695,5798,11119,42073,57396,42753,14643,90049,90049,0,56716
2007-2008,5901,East Kootenay,161,98,28,46,80,125,1888,1244,644,1287,1234,53,822
2007-2008,5903,Central Kootenay,105,87,62,41,-7,32,1345,834,511,1801,1686,115,658
2007-2008,5905,Kootenay Boundary,63,24,18,11,15,61,505,397,108,1197,1142,55,224
2007-2008,5907,Okanagan-Similkameen,218,72,56,34,5,173,1441,1086,355,3054,2724,330,858
2007-2008,5909,Fraser Valley,1583,263,225,126,23,1442,2714,2483,231,9929,8397,1532,3205
2007-2008,5915,Greater Vancouver,36617,9449,3945,4504,9593,36202,21323,17497,3826,18402,24012,-5610,34418
2007-2008,5917,Capital,1526,900,447,432,128,769,6788,4057,2731,8628,7715,913,4413
2007-2008,5919,Cowichan Valley,182,96,66,46,-4,102,1042,644,398,3482,3107,375,875
2007-2008,5921,Nanaimo,391,202,140,95,-4,230,2624,1333,1291,5760,4810,950,2471
2007-2008,5923,Alberni-Clayoquot,42,25,22,12,14,41,313,201,112,1232,1236,-4,149
2007-2008,5924,Strathcona,93,57,25,28,-56,-23,830,624,206,1563,1397,166,349
2007-2008,5926,Comox Valley,115,82,35,39,17,46,1172,882,290,2207,1971,236,572
2007-2008,5927,Powell River,37,14,2,6,0,19,218,152,66,818,747,71,156
2007-2008,5929,Sunshine Coast,78,11,26,5,9,97,290,172,118,1463,1043,420,635
2007-2008,5931,Squamish-Lillooet,237,78,77,37,367,566,903,433,470,1789,1783,6,1042
2007-2008,5933,Thompson-Nicola,296,96,99,45,236,490,1888,1536,352,5143,4140,1003,1845
2007-2008,5935,Central Okanagan,612,241,183,115,386,825,4484,2284,2200,5592,4499,1093,4118
2007-2008,5937,North Okanagan,160,118,66,55,134,187,1614,941,673,2996,2877,119,979
2007-2008,5939,Columbia-Shuswap,110,44,26,20,88,160,1314,812,502,2102,2095,7,669
2007-2008,5941,Cariboo,117,42,41,21,1,96,604,689,-85,2665,2591,74,85
2007-2008,5943,Mount Waddington,28,4,6,2,-1,27,163,97,66,556,645,-89,4
2007-2008,5945,Central Coast,11,0,0,0,-6,5,19,14,5,160,207,-47,-37
2007-2008,5947,Skeena-Queen Charlotte,43,17,10,9,-21,6,185,175,10,771,856,-85,-69
2007-2008,5949,Kitimat-Stikine,31,4,20,3,2,46,488,392,96,1257,1430,-173,-31
2007-2008,5951,Bulkley-Nechako,48,45,24,22,-16,-11,454,448,6,1341,1752,-411,-416
2007-2008,5953,Fraser-Fort George,175,46,24,21,67,199,1164,1453,-289,3043,3700,-657,-747
2007-2008,5955,Peace River,127,47,22,22,51,131,1419,1556,-137,1594,1829,-235,-241
2007-2008,5957,Stikine,1,1,0,1,9,8,34,26,8,43,39,4,20
2007-2008,5959,Northern Rockies,13,0,0,0,9,22,170,291,-121,174,385,-211,-310
2008-2009,5900,British Columbia,42375,11240,5403,5800,17683,48421,51061,41066,9995,79514,79514,0,58416
2008-2009,5901,East Kootenay,168,44,52,23,223,376,1451,1297,154,1067,1170,-103,427
2008-2009,5903,Central Kootenay,129,68,45,36,25,95,1031,746,285,1597,1596,1,381
2008-2009,5905,Kootenay Boundary,44,22,16,11,25,52,370,383,-13,1032,955,77,116
2008-2009,5907,Okanagan-Similkameen,207,119,59,61,123,209,1140,1005,135,2384,2482,-98,246
2008-2009,5909,Fraser Valley,1705,356,184,180,63,1416,2495,2302,193,8521,7455,1066,2675
2008-2009,5915,Greater Vancouver,35977,8334,3773,4312,14705,41809,20467,15856,4611,17738,19693,-1955,44465
2008-2009,5917,Capital,1463,880,468,448,534,1137,6349,3658,2691,8310,6503,1807,5635
2008-2009,5919,Cowichan Valley,125,89,59,45,25,75,908,684,224,2991,2724,267,566
2008-2009,5921,Nanaimo,367,174,124,90,81,308,2189,1381,808,4879,4351,528,1644
2008-2009,5923,Alberni-Clayoquot,59,25,11,12,26,59,247,196,51,1114,1051,63,173
2008-2009,5924,Strathcona,110,74,34,38,-13,19,730,641,89,1299,1344,-45,63
2008-2009,5926,Comox Valley,105,104,47,53,10,5,1031,905,126,1836,1899,-63,68
2008-2009,5927,Powell River,30,9,5,5,-2,19,170,167,3,668,693,-25,-3
2008-2009,5929,Sunshine Coast,75,25,10,14,8,54,273,179,94,1067,929,138,286
