id,host_location,host_neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,availability_365
9.16108130169743e+17,"Vancouver, Canada",Marpole,Shaughnessy,49.2418105906967,-123.144611266543,Private Guest Suite,Entire home/apt,6,1.5,2,$107.00,106
9.16231929407853e+17,"Vancouver, Canada",Central Vancouver,Downtown Eastside,49.2813511560255,-123.103708372047,Private House,Entire home/apt,4,1.5,2,$278.00,365
9.16274577512295e+17,"Delta, Canada",Ladner,Downtown,49.2746767272387,-123.113797384721,Private House,Entire home/apt,2,1,1,$110.00,11
9.16733846850022e+17,,Central Vancouver,West End,49.2819902632018,-123.138092711636,Private House,Entire home/apt,2,1,1,$111.00,50
9.16904518849279e+17,"Vancouver, Canada",East Vancouver,Hastings-Sunrise,49.2825235675572,-123.026242558604,Private House,Entire home/apt,2,1,1,$100.00,274
9.16986233160731e+17,,Marpole,Marpole,49.2113407894395,-123.132060617208,Private Room,Private room,2,1 shared,1,$45.00,349
9.17036298531807e+17,"Vancouver, Canada",Marpole,Marpole,49.20835,-123.12158,Private Room,Private room,2,1 shared,1,$95.00,138
9.17042757640232e+17,"Vancouver, Canada",Marpole,Marpole,49.206646062151,-123.11974977714,Private Room,Private room,2,1 shared,1,$99.00,37
9.17338030042824e+17,"Vancouver, Canada",Sunset,Sunset,49.2196210520323,-123.103834028268,Private Guest Suite,Entire home/apt,1,1,1,$75.00,63
9.1735238755119e+17,"Vancouver, Canada",Downtown Vancouver,West End,49.28798,-123.13273,Private Room,Private room,1,1,1,$50.00,364
9.17625280165864e+17,,Central Vancouver,Downtown,49.27799,-123.10692,Private House,Entire home/apt,7,2,4,$260.00,46
9.17662077646664e+17,"Vancouver, Canada",Riley Park–Little Mountain,Riley Park,49.246675630329,-123.097893486123,Private House,Entire home/apt,2,1,1,$250.00,92
9.17750325993582e+17,"Vancouver, Canada",Kensington-Cedar Cottage,Kensington-Cedar Cottage,49.26125,-123.07297,Private House,Entire home/apt,4,1,2,$116.00,74
9.17751986527037e+17,,,Victoria-Fraserview,49.22495,-123.06707,Private House,Entire home/apt,8,1,4,$286.00,66
9.17981296815917e+17,,Central Vancouver,Downtown,49.2754007347002,-123.116946966021,Private Room,Private room,2,1.5 shared,1,$80.00,364
9.18147829268672e+17,"Vancouver, Canada",Oakridge,Oakridge,49.23101726383,-123.121835368435,Private Room,Private room,1,1 shared,1,$39.00,353
9.18165541071669e+17,"Vancouver, Canada",Kitsilano,Downtown,49.27944,-123.11559,Private House,Entire home/apt,7,3.5,4,$937.00,364
9.18325832731761e+17,"Vancouver, Canada",Central Vancouver,Downtown,49.2745482,-123.127821,Private House,Entire home/apt,2,1,1,$158.00,189
9.18396962576028e+17,"Vancouver, Canada",South Vancouver,Victoria-Fraserview,49.2322548,-123.0609596,Private Room,Private room,2,1 shared,1,$83.00,179
9.1841457393552e+17,"West Vancouver, Canada",Central Vancouver,Downtown,49.27735,-123.11664,Private House,Entire home/apt,2,1,1,$158.00,56
9.18921500822047e+17,"North Vancouver, Canada",West End,West End,49.291786635294,-123.132916452647,Private House,Entire home/apt,2,1,1,$125.00,208
9.19033514772486e+17,"Vancouver, Canada",Central Vancouver,West End,49.2917154256735,-123.139877746028,Private House,Entire home/apt,2,1,1,$80.00,175
9.19057929377554e+17,"Vancouver, Canada",Central Vancouver,Downtown,49.2791826305645,-123.117183744907,Private Room,Private room,1,1,1,$80.00,364
9.19120702749774e+17,"Vancouver, Canada",Kitsilano,Kitsilano,49.2667211955295,-123.155040360431,Private Room,Private room,1,1 shared,1,$96.00,165
9.19215526898178e+17,"Vancouver, Canada",Marpole,Marpole,49.2156864839081,-123.127122267217,Private House,Entire home/apt,4,1,2,$90.00,269
9.19556313543025e+17,,Grandview-Woodland,Grandview-Woodland,49.2780906,-123.0638924,Private Guest Suite,Entire home/apt,4,1,3,$101.00,94
9.19615393479922e+17,,Renfrew-Collingwood,Renfrew-Collingwood,49.25471,-123.05513,Private House,Entire home/apt,4,1,2,$129.00,81
9.19638376653033e+17,"Vancouver, Canada",,Downtown Eastside,49.2813495,-123.0827452,Private Apartment,Entire home/apt,2,1,1,$130.00,155
9.19660895959242e+17,"Vancouver, Canada",Grandview-Woodland,Grandview-Woodland,49.2702696412571,-123.057152554393,Private House,Entire home/apt,5,1,3,$227.00,357
9.19741456632549e+17,"Vancouver, Canada",Riley Park–Little Mountain,Riley Park,49.2552495149274,-123.108371307628,Private House,Entire home/apt,2,1,1,$75.00,134
9.19853237819569e+17,,Dunbar-Southlands,Dunbar Southlands,49.2375780009187,-123.173455134782,Private Room,Private room,3,2 shared,2,$68.00,269
9.19882207484675e+17,"Vancouver, Canada",Knight,Kensington-Cedar Cottage,49.2414362688494,-123.08028998032,Private House,Entire home/apt,2,1,1,$120.00,112
9.19882943109483e+17,,Dunbar-Southlands,Dunbar Southlands,49.23567,-123.17153,Private Room,Private room,2,2 shared,1,$55.00,269
9.20018954980521e+17,"Vancouver, Canada",West Point Grey,Sunset,49.2247882329425,-123.088632159658,Private Room,Private room,2,1 shared,1,$45.00,180
