Longitude,Latitude
-123.033192,49.261781
-123.068542,49.263172
-123.246552,49.267318
-123.02541,49.265243
-123.06875,49.262416
-123.115714,49.263338
-123.247309,49.267664
-123.12286,49.263437
-123.139158,49.263724
-123.154352,49.263936
-123.167544,49.264156
-123.186028,49.26367
-123.209694,49.263905
-123.242989,49.266904
-123.078554,49.262499
-123.09009,49.262593
-123.10218,49.26304
-123.002517,49.225793
-123.002961,49.267243
-123.003973,49.281124
-123.025946,49.281385
-123.026407,49.281212
-123.028735,49.305323
-123.004371,49.280153
-123.003233,49.280273
-123.003254,49.278814
-123.003278,49.277101
-123.00331,49.275222
-123.003294,49.273455
-123.003301,49.271622
-123.003448,49.261663
-123.004458,49.254321
-123.004474,49.251436
-123.004458,49.247981
-123.00349,49.242582
-123.003478,49.2399
-123.003466,49.238368
-123.003466,49.236701
-123.003442,49.233488
-123.005731,49.22957
-123.00699,49.227277
-123.029969,49.281014
-123.025048,49.281027
-123.022733,49.281017
-123.018168,49.28099
-123.01577,49.280965
-123.013445,49.280952
-123.008143,49.280947
-123.00517,49.280926
-122.824501,49.246466
-122.821385,49.243501
-122.816692,49.243668
-122.81547,49.244567
-122.815491,49.24792
-122.815518,49.249319
-122.815561,49.251855
-122.814605,49.25569
-122.812244,49.256416
-122.809453,49.25556
-122.806443,49.25369
-122.804616,49.255943
-122.803009,49.258437
-122.800131,49.261488
-122.798109,49.263839
-122.800011,49.269819
-122.801808,49.271255
-122.89266,49.248513
-122.887837,49.248997
-122.885449,49.248406
-122.885431,49.246842
-122.884755,49.245398
-122.881496,49.245367
-122.877181,49.245322
-122.872674,49.245743
-122.870877,49.247409
-122.869403,49.248667
-122.866253,49.248912
-122.861562,49.248903
-122.857585,49.248888
-122.851475,49.248922
-122.849622,49.248924
-122.846057,49.248912
-122.843554,49.248938
-122.840223,49.248941
-122.836313,49.248976
-122.833278,49.248978
-122.828006,49.248998
-122.824481,49.248564
-122.815518,49.256167
-122.81614,49.259833
-122.817572,49.262619
-122.81683,49.263883
-122.813993,49.266301
-122.813649,49.268529
-122.81453,49.271144
-122.8112,49.272581
-122.80591,49.272599
-122.882272,49.245459
-122.88443,49.24549
-122.885318,49.247481
-122.890391,49.249197
-122.804987,49.272769
-122.80915,49.273036
-122.812721,49.272538
-122.81474,49.270574
-122.813893,49.267855
-122.814289,49.266082
-122.816975,49.263978
-122.817531,49.26142
-122.816173,49.259252
-122.815832,49.255292
-122.815825,49.251232
-122.815775,49.248665
-122.815747,49.247378
-122.816892,49.243755
-122.821857,49.243606
-122.82432,49.245673
-122.824344,49.247723
-122.824891,49.249138
-122.828377,49.24913
-122.836062,49.249116
-122.841515,49.249076
-122.844483,49.249053
-122.847067,49.249052
-122.850571,49.249067
-122.85298,49.249081
-122.858501,49.249037
-122.862623,49.249067
-122.865997,49.249072
-122.870755,49.247733
-122.873496,49.24541
-122.87742,49.245436
-122.798722,49.275476
-122.842729,49.23478
-122.843755,49.237852
-122.846404,49.238538
