TypeOfWork,IssueYear,geo_point_2d,PostalCode
Demolition / Deconstruction,2017,"49.2406054, -123.1609916",V6M 1J7
New Building,2017,"49.2173172, -123.0992848",V5X 1V9
Addition / Alteration,2017,"49.286837, -123.124157",V6E 0C6
Addition / Alteration,2017,"49.2739315, -123.1181418",V6Z 2Z6
New Building,2017,"49.216463, -123.1000107",V5X 1X9
Addition / Alteration,2017,"49.2415922, -123.1410625",V6M 1A7
Addition / Alteration,2017,"49.2853975, -123.1134158",V6B 1N2
Addition / Alteration,2017,"49.278937, -123.126832",V6Z 2L4
Addition / Alteration,2017,"49.2367033, -123.065025",V5P 3V7
New Building,2018,"49.2397645, -123.1766545",V6N 2R6
Salvage and Abatement,2017,"49.2397645, -123.1766545",V6N 2R6
New Building,2018,"49.2377537, -123.1166534",V5Z 2Z6
Demolition / Deconstruction,2017,"49.2430355, -123.1387628",V6H 2J6
Salvage and Abatement,2017,"49.2430355, -123.1387628",V6H 2J6
Salvage and Abatement,2017,"49.2437719, -123.13766",V6H 2J3
Demolition / Deconstruction,2018,"49.2688718, -123.0587988",V5N 1G1
New Building,2017,"49.2603667, -123.1791645",N/A
Demolition / Deconstruction,2017,"49.2574619, -123.0411152",V5M 2J1
New Building,2017,"49.2572498, -123.0410327",N/A
Salvage and Abatement,2017,"49.2504094, -123.1213743",V5Z 2A8
Demolition / Deconstruction,2017,"49.2211515, -123.0798159",V5X 4G5
New Building,2018,"49.2531298, -123.108913",V5Y 2C4
New Building,2018,"49.2353469, -123.1402848",V1V 1V1
Demolition / Deconstruction,2017,"49.2879556, -123.1248986",V6E 2Y1
Addition / Alteration,2017,"49.2087328, -123.1312708",V6P 4E4
Addition / Alteration,2017,"49.2717589, -123.1221241",V6Z 2W9
Addition / Alteration,2017,"49.2754455, -123.13407",V6E 1T7
Addition / Alteration,2017,"49.2601819, -123.1914148",V6R 2X2
Addition / Alteration,2017,"49.2274498, -123.1570603",V6M 2T5
Addition / Alteration,2017,"49.206556, -123.0651461",V5P 4X1
Demolition / Deconstruction,2018,"49.2697081, -123.2048242",V6R 1G2
Addition / Alteration,2017,"49.260364, -123.0771966",V5N 1Y5
Salvage and Abatement,2017,"49.2228227, -123.1370847",V6P 1K8
Addition / Alteration,2017,"49.2476012, -123.1876993",V6S 1S5
Addition / Alteration,2017,"49.2855326, -123.1299693",V6E 1H5
Salvage and Abatement,2017,"49.2362004, -123.1836535",V6N 3A5
Demolition / Deconstruction,2017,"49.254328, -123.0342549",V5M 3V6
New Building,2018,"49.2886552, -123.024057",V5K 1J4
Addition / Alteration,2017,"49.2626358, -123.1547805",V6K 4T4
New Building,2018,"49.2282648, -123.0315406",V5S 3L4
Demolition / Deconstruction,2017,"49.2775188, -123.1165447",V6B 4X7
Addition / Alteration,2017,"49.2102394, -123.0299207",V5S 4G4
Demolition / Deconstruction,2017,"49.2490805, -123.0485304",V5R 1E3
Addition / Alteration,2017,"49.284808, -123.1156241",V6C 2T7
New Building,2017,"49.2391217, -123.0767905",V1V 1V1
Salvage and Abatement,2017,"49.227795, -123.0360734",V5S 3G6
Demolition / Deconstruction,2017,"49.2392315, -123.0766763",V5P 2T5
Salvage and Abatement,2017,"49.2193628, -123.0796264",V5X 4G8
New Building,2017,"49.2265349, -123.0727098",V5P 3H1
New Building,2017,"49.2515663, -123.1719363",V6L 2V3
New Building,2017,"49.2563746, -123.1214575",V5Z 1V1
New Building,2017,"49.2776884, -123.0452118",N/A
Salvage and Abatement,2017,"49.2776967, -123.0451838",V5K 2N2
New Building,2017,"49.2359222, -123.0574704",N/A
Addition / Alteration,2017,"49.2073278, -123.0978407",V5X 2X7
New Building,2017,"49.2329776, -123.0434648",V5R 2X7
Salvage and Abatement,2017,"49.235489, -123.0674084",V5P 1G6
New Building,2017,"49.2395177, -123.0691448",V5P 1A4
New Building,2017,"49.2508248, -123.1921596",V6S 1M2
Demolition / Deconstruction,2017,"49.2508248, -123.1921596",V6S 1M2
Salvage and Abatement,2017,"49.2508248, -123.1921596",V6S 1M2
New Building,2017,"49.2549534, -123.1898633",V6S 1G1
Salvage and Abatement,2017,"49.2549534, -123.1898633",V6S 1G1
New Building,2017,"49.2300871, -123.0642077",V5P 1N2
Demolition / Deconstruction,2017,"49.2300871, -123.0642077",V5P 1N2
New Building,2017,"49.2756688, -123.0428394",V5K 2T9
Addition / Alteration,2017,"49.2781123, -123.0883225",V6A 2A3
New Building,2017,"49.2431715, -123.0789767",V5V 4X7
Salvage and Abatement,2017,"49.2139812, -123.0958291",V5X 2G1
Demolition / Deconstruction,2017,"49.2288417, -123.1337622",V6M 2L5
Salvage and Abatement,2017,"49.2288417, -123.1337622",V6M 2L5
Addition / Alteration,2019,"49.2882289, -123.1331424",V6G 1G5
New Building,2017,"49.2305687, -123.1482757",V6M 3P2
New Building,2017,"49.2143394, -123.1536687",V6P 6B5
Addition / Alteration,2017,"49.276947, -123.115371",V6B 2M6
Addition / Alteration,2018,"49.2406711, -123.1031667",V5V 3M4
Demolition / Deconstruction,2017,"49.2310885, -123.080852",V5W 3M9
Salvage and Abatement,2017,"49.2261208, -123.0687413",V5P 3P4
New Building,2018,"49.2260784, -123.068442",V5P 3P4
Salvage and Abatement,2017,"49.2132293, -123.1162816",N/A
New Building,2017,"49.2551488, -123.0490785",V5M 2L8
Salvage and Abatement,2018,"49.2598998, -123.1733687",V6K 2X7
New Building,2017,"49.2460545, -123.0687045",V5N 4A2
Demolition / Deconstruction,2017,"49.2505536, -123.0665387",V5N 4H5
Addition / Alteration,2017,"49.2818014, -123.1180513",V6B 4N9
Addition / Alteration,2017,"49.2818014, -123.1180513",V6B 4N9
Demolition / Deconstruction,2017,"49.2430855, -123.1920786",V6S 1Z3
Demolition / Deconstruction,2017,"49.2392382, -123.1806408",V6N 2R9
Temporary Building / Structure,2017,,N/A
Addition / Alteration,2017,"49.2344421, -123.0842794",V5W 1L1
Addition / Alteration,2017,"49.2599062, -123.2075164",V6R 2Y3
Addition / Alteration,2017,"49.2875719, -123.1216511",V6E 2R9
Addition / Alteration,2017,"49.2620377, -123.1423714",V6J 2B8
Demolition / Deconstruction,2017,"49.2539569, -123.0884236",V5V 1K4
Addition / Alteration,2017,"49.285919, -123.1154038",V6C 1C8
Salvage and Abatement,2017,"49.275159, -123.1266813",V6B 2H3
Addition / Alteration,2017,"49.2719904, -123.1577104",V6K 3J1
Addition / Alteration,2018,"49.2611586, -123.0759377",V5N 1X3
Addition / Alteration,2017,"49.2855326, -123.1299693",V6E 1H5
Addition / Alteration,2017,"49.2902096, -123.1307382",V6G 2Z6
Addition / Alteration,2017,"49.2645266, -123.1557773",V6K 2A7
Demolition / Deconstruction,2017,"49.2874261, -123.0551202",V5K 1J5
Demolition / Deconstruction,2017,"49.2409337, -123.0411665",V5R 3V5
Salvage and Abatement,2017,"49.2409337, -123.0411665",V5R 3V5
Addition / Alteration,2017,"49.280826, -123.0884132",V6A 1R5
Addition / Alteration,2017,"49.2890172, -123.0540156",V5K 1G9
New Building,2017,"49.2760342, -123.0321934",V5K 2W1
New Building,2017,"49.2758322, -123.0320644",V5K 2W1
New Building,2017,"49.2336126, -123.0600307",V5P 1J5
Demolition / Deconstruction,2017,"49.2336126, -123.0600307",V5P 1J5
New Building,2017,"49.2137512, -123.1540702",V6P 6B5
New Building,2017,"49.2141977, -123.1535252",V6P 6B5
Demolition / Deconstruction,2017,"49.211927, -123.1288087",V6P 3X9
Salvage and Abatement,2017,"49.211927, -123.1288087",V6P 3X9
Demolition / Deconstruction,2017,"49.2135637, -123.1301583",V6P 4A6
Salvage and Abatement,2017,"49.2542863, -123.0488311",V5M 2P8
Addition / Alteration,2017,"49.2853178, -123.12602",N/A
Addition / Alteration,2017,"49.2742217, -123.1242935",N/A
Addition / Alteration,2017,"49.2594533, -123.0450819",V5M 4T5
Addition / Alteration,2017,"49.2861658, -123.1256693",V6E 3Z3
Addition / Alteration,2017,"49.2754048, -123.1244125",V6B 6M6
Addition / Alteration,2017,"49.2627373, -123.214599",V6R 2M7
New Building,2018,"49.2494976, -123.0394256",V1V 1V1
Salvage and Abatement,2017,"49.2618972, -123.0446942",V5M 1Z1
Salvage and Abatement,2017,"49.2321552, -123.1452542",V6M 3K9
Addition / Alteration,2017,"49.2444626, -123.1662072",V6L 1Z9
Addition / Alteration,2017,"49.2877091, -123.1180139",V6E 0C3
Salvage and Abatement,2017,"49.2567658, -123.1764853",V6L 2T3
Addition / Alteration,2017,"49.2827921, -123.1101172",N/A
Addition / Alteration,2017,"49.2838221, -123.1000037",V6A 1B5
Addition / Alteration,2017,"49.2609214, -123.1015314",V5T 2C2
New Building,2018,"49.2166551, -123.1154501",V1V 1V1
Demolition / Deconstruction,2018,"49.2168542, -123.1518489",V6P 2B1
Addition / Alteration,2017,"49.2766801, -123.1205545",V6B 2W9
New Building,2018,"49.2590693, -123.145512",V1V 1V1
Addition / Alteration,2018,"49.2583503, -123.0634083",V5N 2C4
Addition / Alteration,2017,"49.2630423, -123.1265417",N/A
Addition / Alteration,2017,"49.2579724, -123.1658216",V6K 3C2
New Building,2018,"49.2379548, -123.0366742",V5R 5E9
Addition / Alteration,2017,"49.2630833, -123.1107249",N/A
Addition / Alteration,2017,"49.2484163, -123.1569432",V6L 3B4
Salvage and Abatement,2017,"49.2331244, -123.1652656",V6N 3H8
Demolition / Deconstruction,2017,"49.2455551, -123.0625975",V5N 2X9
Salvage and Abatement,2017,"49.2445606, -123.188886",V6S 1Y2
Addition / Alteration,2017,"49.2199437, -123.0486942",V5S 1X9
Demolition / Deconstruction,2017,"49.2307409, -123.0816564",V5W 1T9
New Building,2018,"49.205859, -123.0310486",V1V 1V1
Addition / Alteration,2017,"49.2640426, -123.1483611",V6J 1Z3
Salvage and Abatement,2017,"49.2452049, -123.0540503",V5R 1R6
New Building,2018,"49.2448948, -123.0542009",V1V 1V1
Addition / Alteration,2017,"49.2064022, -123.1337336",V6P 4J5
Addition / Alteration,2017,"49.2800024, -123.124897",V6Z 2H2
Addition / Alteration,2017,"49.2865369, -123.1189802",V7X 1M3
Addition / Alteration,2017,"49.2861265, -123.1198029",V7X 1K8
Demolition / Deconstruction,2017,"49.2530742, -123.1730978",V6L 2S1
Demolition / Deconstruction,2017,"49.2503638, -123.1731256",V6L 1V4
New Building,2017,"49.2173861, -123.1508419",N/A
Demolition / Deconstruction,2017,"49.2153497, -123.1196363",V6P 2B4
New Building,2017,"49.22369, -123.0671378",V5P 1W1
Addition / Alteration,2017,"49.2488511, -123.1403406",N/A
Addition / Alteration,2018,"49.2630924, -123.1261236",V5Z 1K7
Demolition / Deconstruction,2018,"49.250911, -123.1185689",V5Z 2A5
New Building,2018,"49.2508934, -123.1185838",V1V 1V1
Addition / Alteration,2017,"49.2817645, -123.112625",V6B 5R4
Addition / Alteration,2017,"49.2801444, -123.1265098",V6Z 2S5
Salvage and Abatement,2017,"49.2635947, -123.0420429",V5M 1V3
Addition / Alteration,2017,"49.2866494, -123.125227",V6E 4A2
Addition / Alteration,2017,"49.2343148, -123.1605251",V1V 1V1
New Building,2018,"49.2555711, -123.1937153",V6S 1E3
New Building,2018,"49.220113, -123.1300325",V6P 1R1
Addition / Alteration,2017,"49.2326474, -123.0241898",V5R 5W2
Demolition / Deconstruction,2018,"49.2428431, -123.0798243",V5V 4X4
Salvage and Abatement,2017,"49.2428431, -123.0798243",V5V 4X4
Addition / Alteration,2017,"49.2847257, -123.1172648",N/A
New Building,2018,"49.2120751, -123.0939584",V5X 3S3
Addition / Alteration,2017,"49.2873766, -123.1393802",V6G 2X7
Addition / Alteration,2017,"49.2860578, -123.1175668",V6C 3A8
Salvage and Abatement,2017,"49.2120751, -123.0939584",V5X 3S3
Addition / Alteration,2017,"49.2641214, -123.1100139",V5Y 1N3
Addition / Alteration,2017,"49.2820481, -123.1077422",N/A
Addition / Alteration,2017,"49.2836988, -123.1196238",V6C 3E8
Demolition / Deconstruction,2017,"49.2640775, -123.185368",V6R 2B7
Addition / Alteration,2017,"49.2436353, -123.1275941",N/A
Demolition / Deconstruction,2017,"49.2686357, -123.1678354",V6K 1P9
Addition / Alteration,2017,"49.2811779, -123.1169631",V6B 0M3
Addition / Alteration,2017,"49.228396, -123.0248604",V5S 1B7
Demolition / Deconstruction,2017,"49.2729169, -123.1604016",V6K 1B9
Addition / Alteration,2017,"49.2791925, -123.0979982",V6A 1X5
Addition / Alteration,2017,"49.2869085, -123.1221046",V6E 3V6
New Building,2018,"49.2503268, -123.0283026",V5M 2Z6
Addition / Alteration,2017,"49.2681931, -123.1863822",V6R 4N6
Addition / Alteration,2017,"49.2882375, -123.1253347",V6E 4N2
Addition / Alteration,2017,"49.2842916, -123.1165221",N/A
Addition / Alteration,2017,"49.262936, -123.1165444",V5Z 0E9
Salvage and Abatement,2017,"49.22369, -123.0671378",V5P 1W1
New Building,2017,"49.2603584, -123.0879806",V5T 2E5
New Building,2017,"49.239924, -123.0277054",V5R 5S2
Demolition / Deconstruction,2017,"49.2562506, -123.0946531",V5T 2T9
New Building,2017,"49.2747001, -123.0288846",V5K 2X6
Demolition / Deconstruction,2017,"49.2189751, -123.1400627",V1V 1V1
Demolition / Deconstruction,2017,"49.2189697, -123.1400631",V6P 4Y2
New Building,2017,"49.2543594, -123.1743655",V6L 1H8
Salvage and Abatement,2017,"49.2425759, -123.1694806",V6N 2G3
New Building,2017,"49.227713, -123.085608",V5W 3J2
New Building,2017,"49.2661834, -123.064932",V5N 1M1
New Building,2017,"49.2359498, -123.0810307",V5W 3M5
New Building,2017,"49.2764304, -123.0730921",V5L 2G9
New Building,2017,"49.256491, -123.0788692",V5T 2S8
Addition / Alteration,2017,"49.2061477, -123.0252838",N/A
Addition / Alteration,2017,"49.2514327, -123.1252938",V5Z 2A1
Salvage and Abatement,2017,"49.2239968, -123.043742",V5S 2Z3
New Building,2017,"49.2187472, -123.1420297",V6P 1W6
Addition / Alteration,2017,"49.2769028, -123.1177648",V6B 1A9
New Building,2018,"49.2693623, -123.0508306",V1V 1V1
Salvage and Abatement,2017,"49.2139472, -123.1366438",V6P 4R8
Addition / Alteration,2017,"49.2114876, -123.1400202",V6P 4Z4
New Building,2018,"49.2090378, -123.0666359",V5P 4A8
Demolition / Deconstruction,2017,"49.2499787, -123.0533765",V5R 1A3
Demolition / Deconstruction,2017,"49.2464539, -123.0578988",V5N 2X2
Addition / Alteration,2017,"49.2676398, -123.111567",V5Y 1H3
Addition / Alteration,2017,"49.2596298, -123.1888933",V6R 2W9
New Building,2018,"49.2426074, -123.1765227",V6N 2G8
Demolition / Deconstruction,2017,"49.2426074, -123.1765227",V6N 2G8
New Building,2018,"49.220675, -123.0955202",V5X 1L4
Addition / Alteration,2017,"49.2801493, -123.1007556",V6A 1T5
Addition / Alteration,2017,"49.2861658, -123.1256693",V6E 3Z3
Demolition / Deconstruction,2018,"49.2336314, -123.1929112",V6N 4A4
New Building,2018,"49.2139118, -123.0922516",V5X 2G4
Salvage and Abatement,2017,"49.2139118, -123.0922516",V5X 2G4
Addition / Alteration,2018,"49.278937, -123.126832",V6Z 2L4
Addition / Alteration,2017,"49.2846812, -123.1118936",V6B 1M1
New Building,2018,"49.2137119, -123.1332139",V6P 4H5
Addition / Alteration,2017,"49.2710188, -123.1522877",V6J 3X2
Addition / Alteration,2017,"49.2866198, -123.1170233",V6C 3A6
New Building,2018,"49.2371172, -123.0892701",V1V 1V1
Demolition / Deconstruction,2018,"49.2394945, -123.1878577",V1V 1V1
Addition / Alteration,2017,"49.2583914, -123.1227747",V5Z 1R1
New Building,2017,"49.223406, -123.0327298",V1V 1V1
Demolition / Deconstruction,2017,"49.2468645, -123.0350615",V5R 1L7
Salvage and Abatement,2017,"49.2101219, -123.1347253",V6P 4M3
Addition / Alteration,2017,"49.2862349, -123.1408251",V6G 1W2
Addition / Alteration,2017,"49.2818408, -123.1185161",V6Z 1G3
Addition / Alteration,2017,"49.2853971, -123.1154225",V6C 1H2
Addition / Alteration,2017,"49.2343818, -123.1610153",N/A
Addition / Alteration,2017,"49.2295739, -123.0781467",V5W 3S4
Demolition / Deconstruction,2018,"49.2608489, -123.1762505",V6K 2V6
Addition / Alteration,2017,"49.28134, -123.114603",V6B 5A1
Addition / Alteration,2017,"49.2866494, -123.125227",V6E 4A2
Addition / Alteration,2017,"49.2853646, -123.1145449",V6C 1T2
Addition / Alteration,2017,"49.2747702, -123.1327239",V6Z 2R1
New Building,2017,"49.2227009, -123.081146",V5X 4E1
Salvage and Abatement,2017,"49.236677, -123.1162732",N/A
Salvage and Abatement,2017,"49.2490888, -123.0524578",V5R 1X7
Addition / Alteration,2017,"49.2854092, -123.1219503",V6E 0B6
Addition / Alteration,2017,"49.2913063, -123.1422031",V6G 2R7
New Building,2017,"49.2430753, -123.1944547",V6S 1Z6
Addition / Alteration,2017,"49.2578781, -123.1204164",V5Z 1R6
Addition / Alteration,2017,"49.2780563, -123.1313115",V6Z 1Z7
Addition / Alteration,2017,"49.2439413, -123.0797964",V5V 4X4
Addition / Alteration,2017,"49.2888328, -123.1219852",V6E 2K3
New Building,2017,"49.2190306, -123.0726682",N/A
Salvage and Abatement,2017,"49.2567194, -123.1805675",V6S 1A8
New Building,2017,"49.2276327, -123.0726681",V5P 3G8
Demolition / Deconstruction,2017,"49.2276327, -123.0726681",V5P 3G8
Salvage and Abatement,2017,"49.2276327, -123.0726681",V5P 3G8
New Building,2017,"49.2190968, -123.1416239",V6P 1T2
New Building,2017,"49.2338889, -123.0421373",V5R 4A6
Salvage and Abatement,2017,"49.2139159, -123.0924023",V5X 2G4
Demolition / Deconstruction,2017,"49.23845, -123.0530615",V5R 3L8
Demolition / Deconstruction,2017,"49.2383821, -123.0530616",V1V 1V1
New Building,2017,"49.2382951, -123.1862586",V6N 2V9
Addition / Alteration,2018,"49.2354605, -123.1602491",V6M 4H6
New Building,2017,"49.2487451, -123.1465408",V6J 4J1
Salvage and Abatement,2017,"49.2487451, -123.1465408",V6J 4J1
New Building,2017,"49.2206377, -123.077381",N/A
New Building,2017,"49.2438523, -123.0931772",V1V 1V1
New Building,2017,"49.2460553, -123.1640913",V6L 2G4
New Building,2017,"49.2560381, -123.0814388",V5T 2W3
New Building,2017,"49.2323994, -123.0733834",V5P 1K2
Salvage and Abatement,2017,"49.2323994, -123.0733834",V5P 1K2
Demolition / Deconstruction,2017,"49.2472728, -123.0266579",V5R 1M5
New Building,2017,"49.2581564, -123.1514976",N/A
Demolition / Deconstruction,2017,"49.2653819, -123.212723",V6R 2A7
Addition / Alteration,2017,"49.2857773, -123.1222436",V6E 3C9
Demolition / Deconstruction,2018,"49.2195582, -123.0603028",V5P 4H5
New Building,2018,"49.2195136, -123.0606518",V1V 1V1
Addition / Alteration,2017,"49.2065086, -123.1265647",V6P 3V7
Addition / Alteration,2018,"49.2781794, -123.0924822",V6A 1Z9
Demolition / Deconstruction,2018,"49.2236937, -123.0672748",V5P 1W1
New Building,2018,"49.2236855, -123.0673028",V1V 1V1
Addition / Alteration,2017,"49.2640051, -123.1343647",V6H 4C1
Addition / Alteration,2017,"49.2666716, -123.1534339",V6K 1V5
Addition / Alteration,2017,"49.2764019, -123.1317573",V6Z 2E3
Addition / Alteration,2017,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2017,"49.2641612, -123.132102",V6H 3Y9
Addition / Alteration,2017,"49.2835005, -123.1037813",N/A
Addition / Alteration,2017,"49.2458382, -123.1695425",V6L 1Y1
Addition / Alteration,2017,"49.2657217, -123.070814",V5N 5K2
Addition / Alteration,2017,"49.2888328, -123.1219852",V6E 2K3
Salvage and Abatement,2017,"49.2170109, -123.0762746",V5P 2B8
Addition / Alteration,2019,"49.288027, -123.0530476",V5K 1J8
New Building,2018,"49.2124696, -123.0978808",V1V 1V1
Addition / Alteration,2017,"49.291723, -123.1331188",V6G 3G9
New Building,2018,"49.2383046, -123.0778855",V5W 1C1
Demolition / Deconstruction,2018,"49.2383046, -123.0778855",V5W 1C1
Salvage and Abatement,2018,"49.2383046, -123.0778855",V5W 1C1
New Building,2018,"49.2572127, -123.1801392",V6S 1Z7
Addition / Alteration,2018,"49.2470746, -123.0694168",V5N 2S3
Addition / Alteration,2017,"49.2818478, -123.107315",N/A
Addition / Alteration,2017,"49.2740376, -123.1227934",V6B 5Z5
New Building,2018,"49.2120208, -123.0872432",V1V 1V1
Addition / Alteration,2017,"49.2128693, -123.1530813",V6P 6B2
Addition / Alteration,2017,"49.2888328, -123.1219852",V6E 2K3
Addition / Alteration,2017,"49.2678853, -123.1167039",V5Z 4G3
Salvage and Abatement,2017,"49.2516325, -123.1675822",V6L 1N9
Addition / Alteration,2018,"49.2700593, -123.175415",V6K 1K6
Addition / Alteration,2017,"49.273181, -123.0678695",V5L 2T6
Salvage and Abatement,2017,"49.2220339, -123.0917979",V5X 1J4
New Building,2017,"49.2480784, -123.0285881",V5M 2G9
Salvage and Abatement,2017,"49.2729248, -123.1603599",V6K 1B9
Addition / Alteration,2017,"49.2351434, -123.0261717",V5R 6H7
Salvage and Abatement,2017,"49.2548481, -123.0877358",V5V 1G6
Salvage and Abatement,2017,"49.2900155, -123.0457183",V5K 1E8
New Building,2018,"49.283111, -123.1124898",V6B 1T5
Addition / Alteration,2017,"49.2473456, -123.1755066",V6L 1X4
Demolition / Deconstruction,2018,"49.2706863, -123.045754",V5K 3J9
Addition / Alteration,2018,"49.2697577, -123.1848997",V6R 1M1
Addition / Alteration,2017,"49.2863527, -123.1276091",N/A
Demolition / Deconstruction,2018,"49.2687424, -123.2085781",V6R 1R1
Addition / Alteration,2017,"49.2810955, -123.1216408",V6Z 2L2
New Building,2018,"49.2356337, -123.0631292",V5P 1G8
New Building,2017,"49.2156222, -123.0700507",V5P 3S5
Demolition / Deconstruction,2018,"49.2218742, -123.0438635",V5S 1T4
Salvage and Abatement,2017,"49.2218742, -123.0438635",V5S 1T4
New Building,2018,"49.2217562, -123.0434502",V1V 1V1
New Building,2018,"49.2443743, -123.1035398",V1V 1V1
Addition / Alteration,2017,"49.2247208, -123.1086367",V5Y 2Z6
Addition / Alteration,2017,"49.2636765, -123.1250571",V5Z 4E1
Addition / Alteration,2017,"49.2805913, -123.0967562",V6A 1V1
Addition / Alteration,2017,"49.2609394, -123.1163251",V5Z 3X7
Addition / Alteration,2017,"49.2072531, -123.1427095",N/A
Addition / Alteration,2018,"49.2088649, -123.0682249",V5P 2S6
Addition / Alteration,2017,"49.2038984, -123.1337509",V6P 6G5
Addition / Alteration,2017,"49.2578453, -123.1158169",V5Z 4N2
Addition / Alteration,2017,"49.2578453, -123.1158169",V5Z 4N2
Addition / Alteration,2017,"49.2578453, -123.1158169",V5Z 4N5
Salvage and Abatement,2017,,N/A
New Building,2018,"49.2120463, -123.0928899",V5X 2P7
Demolition / Deconstruction,2018,"49.2120463, -123.0928899",V5X 2P7
Addition / Alteration,2018,"49.2872565, -123.1266437",V6E 4R4
New Building,2018,"49.2356743, -123.0745637",V5P 3A3
New Building,2018,"49.2706916, -123.0456163",V5K 3J9
Temporary Building / Structure,2017,,N/A
Demolition / Deconstruction,2018,"49.2211089, -123.0386277",V5S 1W7
Salvage and Abatement,2017,"49.2211089, -123.0386277",V5S 1W7
Addition / Alteration,2017,"49.273787, -123.1198134",V6Z 2Y1
Addition / Alteration,2017,"49.2873074, -123.1238942",V6E 4P5
Addition / Alteration,2017,"49.280969, -123.0733829",V5L 1S5
Addition / Alteration,2017,"49.2632821, -123.1158831",N/A
Addition / Alteration,2017,"49.2279307, -123.070041",V5P 1P6
Addition / Alteration,2017,"49.2855547, -123.125721",N/A
New Building,2018,"49.2256419, -123.0826358",V5W 2H9
Addition / Alteration,2017,"49.2028874, -123.1275845",V6P 6R9
Addition / Alteration,2017,"49.2778132, -123.1161004",V6B 2P4
Salvage and Abatement,2017,"49.2239347, -123.1226863",V6P 3N4
Addition / Alteration,2017,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2017,"49.2514859, -123.0963386",V5V 3Y2
Addition / Alteration,2017,"49.2594533, -123.0450819",V5M 4T5
Addition / Alteration,2017,"49.2363988, -123.1616745",V6M 4B5
New Building,2018,"49.2427489, -123.0693785",V5N 3Z6
Demolition / Deconstruction,2018,"49.2221893, -123.0888783",V5X 1J7
New Building,2018,"49.2221893, -123.0888783",V5X 1J7
New Building,2017,"49.2259617, -123.0818058",V1V 1V1
Salvage and Abatement,2017,"49.222907, -123.1631031",V6P 6C2
Addition / Alteration,2018,"49.2742849, -123.0770201",V5L 3K3
Salvage and Abatement,2017,"49.2618056, -123.2130478",V6R 2R6
Addition / Alteration,2017,"49.2807368, -123.1213608",V6Z 1K7
New Building,2018,"49.2629774, -123.1967403",V6R 2L4
New Building,2018,"49.2164878, -123.0682926",V1V 1V1
New Building,2018,"49.2120362, -123.1427034",V1V 1V1
Temporary Building / Structure,2017,"49.2759373, -123.1431089",N/A
Demolition / Deconstruction,2018,"49.2228794, -123.0476703",V5S 1R3
Addition / Alteration,2017,"49.2647791, -123.1181059",V5Z 1B5
Addition / Alteration,2017,"49.28134, -123.114603",V6B 5A1
Addition / Alteration,2017,"49.2743942, -123.1229911",V6B 2S8
Addition / Alteration,2017,"49.2857773, -123.1222436",V6E 3C9
Addition / Alteration,2018,"49.2434, -123.06161",V5N 2T7
New Building,2018,"49.2427921, -123.0689792",V5N 3Z6
New Building,2017,"49.2401885, -123.0538111",V5R 2A3
New Building,2018,"49.2547288, -123.0947072",V5V 1E9
Demolition / Deconstruction,2018,"49.2359592, -123.0950994",V5W 1H7
Addition / Alteration,2017,"49.2828818, -123.103897",V6B 2J1
Addition / Alteration,2017,"49.2840288, -123.1238944",V6E 4A9
Addition / Alteration,2017,"49.2287781, -123.0707288",V5P 1P2
Demolition / Deconstruction,2018,"49.222669, -123.1191411",V6P 1K3
New Building,2018,"49.2741644, -123.0657172",N/A
New Building,2018,"49.2609391, -123.1817671",V6R 2S2
Demolition / Deconstruction,2018,"49.2609391, -123.1817671",V6R 2S2
Salvage and Abatement,2017,"49.229682, -123.1706922",V6N 1H4
New Building,2018,"49.2508016, -123.1121207",V5Y 2G4
Addition / Alteration,2018,"49.2139185, -123.0540176",V5S 2V7
New Building,2018,"49.2601616, -123.1899462",V6R 2X1
Demolition / Deconstruction,2018,"49.2601616, -123.1899462",V6R 2X1
Salvage and Abatement,2017,"49.2729554, -123.0483577",V5K 3A7
New Building,2018,"49.2188201, -123.1475013",V6P 1W8
Addition / Alteration,2017,"49.2593416, -123.170628",V6K 2X6
Addition / Alteration,2017,"49.2740376, -123.1227934",V6B 5Z4
New Building,2018,"49.2264671, -123.1345677",V6M 2R1
Addition / Alteration,2017,"49.2836157, -123.1158357",V6C 1W6
Addition / Alteration,2017,"49.2148654, -123.0758882",V5P 2J5
Addition / Alteration,2017,"49.2221623, -123.0281286",V5S 1M4
New Building,2018,"49.2144914, -123.1310249",V6P 2J5
Addition / Alteration,2017,"49.2861365, -123.1146689",N/A
Addition / Alteration,2017,"49.2764025, -123.1203065",N/A
Addition / Alteration,2017,"49.2590298, -123.1383121",V6H 3J7
New Building,2019,"49.2581173, -123.1751256",V6K 3C9
Addition / Alteration,2018,"49.2818931, -123.0676072",V5L 1P8
New Building,2017,"49.2053941, -123.0391356",N/A
Addition / Alteration,2018,"49.2837593, -123.1013545",V6A 3Y9
Addition / Alteration,2017,"49.2788042, -123.0993005",V6A 2V3
Salvage and Abatement,2017,"49.2433103, -123.0937879",V5V 2V6
Addition / Alteration,2017,"49.2865408, -123.1123825",V6C 1S4
Addition / Alteration,2017,"49.2221623, -123.0281286",V5S 1M4
Addition / Alteration,2018,"49.2412147, -123.1790652",V6N 1N6
New Building,2018,"49.2518054, -123.0294443",V5M 4E2
