TypeOfWork,IssueYear,geo_point_2d,PostalCode
Demolition / Deconstruction,2019,"49.2824634, -123.0716943",V5L 1P5
Salvage and Abatement,2019,"49.2824656, -123.0721065",V5L 1P5
Addition / Alteration,2019,"49.275633, -123.1186557",V6B 5L7
Addition / Alteration,2019,"49.2863299, -123.1233776",V6E 4M3
Addition / Alteration,2019,"49.2606793, -123.0926036",V5T 2E1
Addition / Alteration,2019,"49.2836936, -123.1069661",V6B 1B2
Addition / Alteration,2019,"49.2554416, -123.1192353",V5Z 1V9
Addition / Alteration,2019,"49.2829394, -123.0473466",V5K 1W1
Addition / Alteration,2020,"49.2194469, -123.0960774",V5X 1R5
Addition / Alteration,2019,"49.2516985, -123.1838665",V6S 1K5
Addition / Alteration,2019,"49.2677755, -123.0897957",V5T 1E1
New Building,2019,,N/A
Demolition / Deconstruction,2019,"49.2448047, -123.036484",V5R 1W4
Temporary Building / Structure,2019,"49.2395129, -123.1326364",V6M 4H1
Addition / Alteration,2019,"49.2859619, -123.0480108",V5K 1N5
New Building,2020,"49.241495, -123.1950444",V6N 2L6
Demolition / Deconstruction,2019,"49.2646391, -123.0770647",V5N 3G8
New Building,2019,"49.2750134, -123.0574199",V5L 2P4
Salvage and Abatement,2019,"49.2793753, -123.0279116",V5K 2J1
Addition / Alteration,2020,"49.2512097, -123.0289603",V5M 4E3
Addition / Alteration,2019,"49.2095184, -123.0611304",V5P 2P1
New Building,2019,"49.2211099, -123.0444044",V5Z 2Z7
Addition / Alteration,2019,"49.2888328, -123.1219852",V6E 2K3
Salvage and Abatement,2019,"49.2210885, -123.0447782",V5S 2Z7
Demolition / Deconstruction,2019,"49.2411917, -123.0697531",V5N 3B6
New Building,2019,"49.2273821, -123.1245087",V5Z 2S2
Addition / Alteration,2019,"49.2475908, -123.1268089",V5Z 2G1
Addition / Alteration,2019,"49.2196327, -123.1363619",V6P 1S7
Demolition / Deconstruction,2019,"49.2499664, -123.0977796",V5V 1X5
Addition / Alteration,2019,"49.2404917, -123.0520014",V5R 6E1
Salvage and Abatement,2019,"49.2716836, -123.10281",V6A 0G5
Demolition / Deconstruction,2019,"49.238777, -123.1178668",V5Z 3G4
Addition / Alteration,2019,"49.2143905, -123.078306",V5X 2C7
Addition / Alteration,2019,"49.2836988, -123.1196238",V6C 3E8
New Building,2019,"49.2180311, -123.0606087",V5P 2E4
Addition / Alteration,2019,"49.2572031, -123.0902871",N/A
New Building,2019,"49.2696553, -123.2036143",V6R 1E9
Addition / Alteration,2019,"49.2379728, -123.0653348",N/A
New Building,2019,"49.2210549, -123.1448111",V6P 5G3
New Building,2019,"49.2135643, -123.0635047",V5P 2L3
Addition / Alteration,2019,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2019,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2019,"49.2825762, -123.0645679",N/A
Addition / Alteration,2019,"49.2716259, -123.2114135",V6R 1K7
Salvage and Abatement,2019,"49.2195975, -123.1043579",V5X 3G8
Demolition / Deconstruction,2020,"49.2534347, -123.0880993",V5V 1K3
New Building,2019,"49.2335862, -123.1202672",V5Z 2M9
Temporary Building / Structure,2019,"49.2794612, -123.1131378",N/A
New Building,2019,"49.2526239, -123.14063",V6J 2S9
Addition / Alteration,2019,"49.2230489, -123.0348116",V5S 3J5
Addition / Alteration,2020,"49.250544, -123.1230415",V5Z 2A9
