YEAR,TYPE,POSTAL_CODE,Cordinates
2016,Community Space,V5X 0A1,"49.22286659427, -123.100610434694"
2016,Community Space,V6P 4J6,"49.2047023, -123.1338135"
2016,Cafe/Restaurant/Bar,V5N 4A9,"49.266022, -123.0698073"
2016,Studio/Rehearsal,V5Y 1J5,"49.2665809, -123.1112172"
2016,Community Space,V6B 1T3,"49.2822111, -123.1117385"
2016,Museum/Gallery,"er, BC,","49.274169, -123.09379"
2016,Community Space,V6A 1V9,"49.2803946, -123.0870172"
2016,Museum/Gallery,V6A 1T7,"49.280103, -123.098813"
2016,Educational,V6J 4R9,"49.274884, -123.144548"
2016,Museum/Gallery,V6A 1Z7,"49.278453, -123.098757"
2016,Studio/Rehearsal,V5Z 2G9,"49.2476977, -123.1248217"
2016,Community Space,"ver, BC","49.283113, -123.119848"
2016,Studio/Rehearsal,V5Y 1K6,"49.2655855, -123.1075911"
2016,Community Space,V6A 1C6,"49.284251, -123.093733"
2016,Educational,V5K 1Z8,"49.281396, -123.047414"
2016,Theatre/Performance,V6Z 1L2,"49.2799671, -123.1218259"
2016,Community Space,V6Z 2R9,"49.2801175, -123.1265368"
2016,Studio/Rehearsal,V6J 1R1,"49.266238, -123.1401944"
2016,Community Space,V6G 2L8,"49.289912961681, -123.136073777706"
2016,Museum/Gallery,V5T 1S1,"49.263916, -123.098654"
2016,Theatre/Performance,V5T 1S1,"49.263894, -123.098716"
2016,Museum/Gallery,V5L 1Y9,"49.2794145, -123.0757838"
2016,Theatre/Performance,V6B 1H4,"49.282541, -123.107579"
2016,Theatre/Performance,V5L 2W2,"49.2786795, -123.0707458"
2015,Community Space,V6R 1K4,"49.271511, -123.205213"
2015,Studio/Rehearsal,V6A 4J1,"49.281101, -123.101791"
2015,Educational,V6A 1R6,"49.2810234, -123.0864434"
2015,Community Space,V5Z 3B2,"49.228879, -123.1169818"
2015,Museum/Gallery,V6Z 2H2,"49.2800409, -123.1249139"
2015,Museum/Gallery,V6B 4X7,"49.2775077, -123.1165781"
2015,Theatre/Performance,V6H 3R9,"49.272124, -123.134362"
2015,Theatre/Performance,V6H 3R9,"49.272235, -123.13467"
2015,Theatre/Performance,V6H 3J3,"49.261346, -123.1382118"
2015,Educational,V6H 3R8,"49.269611, -123.133395"
2015,Theatre/Performance,V5L 2H3,"49.2769146, -123.0698555"
2015,Studio/Rehearsal,V5L 2X5,"49.2714597, -123.0768205"
2015,Studio/Rehearsal,V5T 1V9,"49.2626666, -123.102565"
2015,Museum/Gallery,V6T 1Z4,"49.2634318, -123.251485"
2015,Studio/Rehearsal,V5Y 1M7,"49.263547, -123.105751"
2015,Studio/Rehearsal,V6J 1A9,"49.2756879, -123.1402263"
2015,Studio/Rehearsal,V6G 1Z4,"49.2912065, -123.0519037"
2015,Community Space,V5V 1A6,"49.2559391, -123.1005648"
2015,Theatre/Performance,V6A 2T7,"49.281052, -123.1001272"
