Coordinates,Count
"49.2249768033467, -123.091166160039",2
"49.2523630932308, -123.127114051456",4
"49.2826650755131, -123.08628510366",6
"49.2267063584815, -123.066097996996",4
"49.2283785982647, -123.090212243307",3
"49.2636725307782, -123.125687280142",6
"49.2815737482841, -123.096633881176",1
"49.2825424339541, -123.111062303119",8
"49.2808540706488, -123.024086713033",1
"49.2617147406377, -123.099438724974",3
"49.2617982725438, -123.092403951839",2
"49.2080683315869, -123.117754048809",1
"49.2796756875908, -123.13693138803",1
"49.2833127912099, -123.110234187276",2
"49.2138469448342, -123.06522255001",1
"49.2691458348857, -123.179059957534",1
"49.2828378550535, -123.071836145095",1
"49.2653413258046, -123.044771049146",1
"49.2775653720768, -123.126170518853",5
"49.2568022829431, -123.124149654411",2
"49.2314781656979, -123.10102611549",1
"49.2464391125612, -123.100837897201",1
"49.2677848306074, -123.147376202662",1
"49.2677873949839, -123.147481365564",1
"49.2677907235378, -123.147692373319",1
"49.2806260407384, -123.121534455547",3
"49.2653016574182, -123.10404858681",2
"49.2694213585584, -123.06547446689",1
"49.24406032208, -123.06211583849",1
"49.2782857330815, -123.076291233678",5
"49.2508613082831, -123.064610984211",1
"49.2734622982537, -123.079690128974",7
"49.2734629399699, -123.079280321253",7
"49.2737780324505, -123.078912394672",7
"49.2737795750013, -123.079273954973",7
"49.2738740309602, -123.079787299493",7
"49.2714055822205, -123.171778004939",1
"49.2704409059059, -123.148297350959",1
"49.2704487671568, -123.148822491806",1
"49.2526211910295, -123.115723774974",1
"49.2159440061117, -123.067059782912",1
"49.2563070425233, -123.10173362114",1
"49.2896590111838, -123.133243817856",2
"49.2632207047494, -123.054966719967",1
"49.261110112189, -123.070302844775",5
"49.2828386694281, -123.071972972172",1
"49.2681105726015, -123.109155531909",2
"49.2807161597808, -123.101703525212",3
"49.2606320618241, -123.101555760429",1
"49.2397425475169, -123.102439988616",1
"49.2687157972906, -123.043775604049",2
"49.276462716408, -123.099512707473",5
"49.264062370061, -123.207657801992",1
"49.2263861073686, -123.066649029127",1
"49.2825804933497, -123.101619387403",4
"49.2825904639807, -123.102043578458",4
"49.2770605364779, -123.080220783224",11
"49.2820241875121, -123.106013706032",7
"49.2685422336744, -123.162702262045",1
"49.2199597348323, -123.060435489007",1
"49.2817620873239, -123.085265104217",8
"49.2607540454778, -123.074425336093",1
"49.2607596099095, -123.074848654402",1
"49.2178967752065, -123.070367647881",1
"49.2599522448209, -123.139119548962",2
"49.2484244643163, -123.100687415829",2
"49.2494206042765, -123.075336756281",2
"49.2534593915955, -123.101250447467",1
"49.2589659325126, -123.07697887942",1
"49.2667745665083, -123.140668054051",3
"49.2208937568454, -123.083097883213",1
"49.2622998435457, -123.045294097832",1
"49.2621914474981, -123.151639141774",2
"49.2694508692929, -123.0997800994",2
"49.2415449074774, -123.101838164835",5
"49.2635435008932, -123.11665809377",5
"49.2816808826581, -123.114900891567",1
"49.2818772803362, -123.114605041843",1
"49.281974578635, -123.114453319092",1
"49.264343073988, -123.169332102001",5
"49.2366825324255, -123.065043395987",2
"49.2635430693536, -123.107447585907",1
"49.2723443952224, -123.063025174831",1
"49.2580180037503, -123.100810923562",7
"49.2607558194443, -123.070181931828",4
"49.2368089745591, -123.101234225875",1
"49.2556994492871, -123.114709895149",3
"49.2779000467711, -123.099336345055",11
"49.2626617488188, -123.037867391223",1
"49.2817737926059, -123.08589322302",9
"49.257172732788, -123.108381765206",1
"49.2500628278378, -123.07668971043",4
"49.2768534800132, -123.095391326565",1
"49.271446486266, -123.170012328599",1
"49.2714993181685, -123.174410007894",2
"49.2716048734157, -123.175481630765",1
"49.2678163772818, -123.149747446157",1
"49.2794024056341, -123.082657812486",7
"49.2744358284753, -123.111959913779",1
"49.2529026884137, -123.079528970345",1
"49.2576642001495, -123.190584344187",1
"49.2747059810324, -123.123540781819",1
"49.2782940545025, -123.077613596579",1
"49.2714163895412, -123.173341286977",2
"49.2624213601461, -123.139028410509",3
"49.2801350498373, -123.133607411791",2
"49.2697935471009, -123.045727808983",2
"49.2697943711323, -123.045895515066",2
"49.2549390691095, -123.190055523001",1
"49.2636912737458, -123.164132332172",1
"49.2634384256923, -123.101429667695",4
"49.2807708114552, -123.132427300194",1
"49.2616489122258, -123.152682744332",2
"49.2808634132062, -123.026525698573",5
"49.2627932667388, -123.092248463825",8
"49.2685155680522, -123.070106723055",3
"49.2621356773046, -123.085603327158",5
"49.2814355813852, -123.058728523166",2
"49.268181607223, -123.139426813566",1
"49.2815640122244, -123.074854699079",5
"49.2815691452206, -123.075261296607",5
