Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,1990.0,"[-123.15496702714076, 49.272723975439376], [-123.15494667385299, 49.27327812646557]"
Protected Bike Lanes,2008.0,"[-123.11547049517509, 49.28815062126395], [-123.1154701863922, 49.288150888729], [-123.11541126758353, 49.288201823359515], [-123.11540973875687, 49.288203145377075], [-123.1151445688247, 49.28845741005574], [-123.11448278010613, 49.28909207934365], [-123.11429127758059, 49.28927573072247], [-123.11407136886184, 49.28948662109848], [-123.11439698484917, 49.28960986760036], [-123.11518000455078, 49.28958346705733], [-123.1152269757774, 49.289581882955886], [-123.11603471996773, 49.289786752754225], [-123.11615866250638, 49.28983684554283], [-123.11638964624558, 49.28993019882561], [-123.11674613277845, 49.29006087269117], [-123.11716776647408, 49.29022082344457], [-123.11764175475246, 49.290400631964566], [-123.1181574072261, 49.290082730358044], [-123.11873062265532, 49.28979633763435], [-123.11873067760877, 49.28979631508996]"
Protected Bike Lanes,1990.0,"[-123.1421228879415, 49.282940388537796], [-123.14217982174544, 49.28299941051809], [-123.14253168667443, 49.283540654004504], [-123.14289929449725, 49.28410973586247], [-123.14290617420576, 49.28413652758103], [-123.14289400743597, 49.28416253418733], [-123.14289399790955, 49.28416256838079], [-123.14287621803084, 49.28432461506609], [-123.14287539101842, 49.284431007424445], [-123.1429272252503, 49.28448452578241]"
Protected Bike Lanes,2014.0,"[-123.11718174140881, 49.20877793804688], [-123.1173066453576, 49.206749946399924], [-123.1173069130321, 49.206744707268015]"
Protected Bike Lanes,2009.0,"[-123.11671241786766, 49.21320310941645], [-123.11673551861455, 49.21266327537758], [-123.11674114981886, 49.21251880808747], [-123.11674974610459, 49.21229826555669]"
Protected Bike Lanes,1990.0,"[-123.07445253881687, 49.2110561490838], [-123.0748547213019, 49.21079282827161], [-123.07502016975967, 49.210672747186216], [-123.07519722492685, 49.21051842943612], [-123.07519724411186, 49.210518405136334], [-123.0754032340848, 49.21033174455696], [-123.07540328755864, 49.21033169684703], [-123.07558613685238, 49.21017545511412], [-123.07558617385014, 49.210175407414894], [-123.07571962074935, 49.21008016964944], [-123.07576235021503, 49.2100619756454], [-123.07588525728272, 49.21000964223193], [-123.07618455251244, 49.20993119160048], [-123.07632966391556, 49.20989314647452], [-123.07636518881921, 49.2098846323403], [-123.07644883641127, 49.20986456518904], [-123.0765596162121, 49.20982824889728], [-123.07666586466284, 49.20978635392982], [-123.07676676677212, 49.209739252346054], [-123.07676681478141, 49.20973922352925], [-123.07686190266799, 49.20968711984752], [-123.07694987853661, 49.20963068419616], [-123.07695046558153, 49.20963030780197], [-123.07698287244393, 49.2096060421042], [-123.07703210461618, 49.209569192461586], [-123.07706597734933, 49.209539386463334], [-123.07710615703525, 49.209504030649], [-123.07717235603373, 49.20943540725078], [-123.07717239166624, 49.20943536584862], [-123.07721027663852, 49.20938833024726], [-123.07723018585, 49.20936361227347]"
Painted Lanes,2005.0,"[-123.14725428536708, 49.24199105392153], [-123.14796951038085, 49.242003616733214], [-123.14943268725193, 49.24202930202057]"
Protected Bike Lanes,2017.0,"[-123.14565489468302, 49.26648474294949], [-123.14565491369386, 49.26648419691668], [-123.14566173571684, 49.266301214181]"
Protected Bike Lanes,2009.0,"[-123.14856507308843, 49.294459857074735], [-123.14842466289349, 49.29426668114031], [-123.14838016986504, 49.2942542368049], [-123.14832925179455, 49.29425430217321], [-123.14827530703312, 49.29426687287631], [-123.14824212836923, 49.29428319308515], [-123.14817138332106, 49.294321666164876], [-123.14811900859995, 49.294350149018896], [-123.14797707587785, 49.29442733572053], [-123.14798058746504, 49.2945395683306], [-123.14797121624244, 49.29459156155947], [-123.14796179011746, 49.294624759471425], [-123.14794904971721, 49.294649776929965], [-123.14791417049373, 49.29466645902702], [-123.14787610298852, 49.294678919267476], [-123.14783806047468, 49.29469974226315], [-123.14779989140813, 49.29471642853425], [-123.14777456875814, 49.294743530951656], [-123.14766669785308, 49.29481219756541], [-123.14742880653755, 49.29493930786473], [-123.1469463519825, 49.29516232676577], [-123.14687389646865, 49.295192921460604], [-123.1465020076685, 49.29534995245769], [-123.14628618660677, 49.295425050289545], [-123.14610508837244, 49.29546898687106], [-123.14599399103777, 49.295483606786135]"
Protected Bike Lanes,1984.0,"[-123.14856507308843, 49.294459857074735], [-123.14868321996244, 49.2946404709544], [-123.14874695948554, 49.29471728224998], [-123.14880764285617, 49.294796255383616], [-123.14894406027196, 49.294920362155125], [-123.14899243685294, 49.294964372474844], [-123.14920584137819, 49.29514279406319], [-123.14944477826147, 49.29532540996087], [-123.14970595774547, 49.29551213252038], [-123.14979423146356, 49.29556103814464], [-123.1497943015871, 49.295561031757146], [-123.14992725429528, 49.295561129196486], [-123.15003662170665, 49.29560265642326], [-123.15006417701817, 49.29561312069199], [-123.15006422384822, 49.2956131431191], [-123.150420840599, 49.295869048673744], [-123.15043191808158, 49.29587187132685], [-123.15065328494703, 49.29592828212682], [-123.15087346904023, 49.29587188847179]"
